NameRegion,Name,Region,Description,URL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Apples1,Apples,1,"A sweet fruit, born from deciduous trees, and originally from central Asia. The apple holds religious and mythological significance in many cultures. ",,0,0,0,0,0,0,0,1,1,1,1,1
Apples2,Apples,2,"A sweet fruit, born from deciduous trees, and originally from central Asia. The apple holds religious and mythological significance in many cultures. ",,0,0,0,0,0,1,1,1,1,0,0,0
Apples3,Apples,3,"A sweet fruit, born from deciduous trees, and originally from central Asia. The apple holds religious and mythological significance in many cultures. ",,0,0,0,0,0,0,0,1,1,1,0,0
Apples4,Apples,4,"A sweet fruit, born from deciduous trees, and originally from central Asia. The apple holds religious and mythological significance in many cultures. ",,0,0,0,0,0,0,1,1,1,1,0,0
Apples5,Apples,5,"A sweet fruit, born from deciduous trees, and originally from central Asia. The apple holds religious and mythological significance in many cultures. ",,0,0,0,0,0,0,0,1,1,1,1,1
Apricots1,Apricots,1,"Apricots are stone fruits, disputedly from ancient Armenia. It's introduction to Greece is attributed to Alexander the Great. The English employ apricots in many traditional  herbalism treatments. ",,0,0,0,0,1,1,1,0,0,0,0,0
Apricots2,Apricots,2,"Apricots are stone fruits, disputedly from ancient Armenia. It's introduction to Greece is attributed to Alexander the Great. The English employ apricots in many traditional  herbalism treatments. ",,0,0,0,0,0,0,0,0,0,0,0,0
Apricots3,Apricots,3,"Apricots are stone fruits, disputedly from ancient Armenia. It's introduction to Greece is attributed to Alexander the Great. The English employ apricots in many traditional  herbalism treatments. ",,0,0,0,0,0,0,1,1,0,0,0,0
Apricots4,Apricots,4,"Apricots are stone fruits, disputedly from ancient Armenia. It's introduction to Greece is attributed to Alexander the Great. The English employ apricots in many traditional  herbalism treatments. ",,0,0,0,0,0,0,0,0,0,0,0,0
Apricots5,Apricots,5,"Apricots are stone fruits, disputedly from ancient Armenia. It's introduction to Greece is attributed to Alexander the Great. The English employ apricots in many traditional  herbalism treatments. ",,0,0,0,0,0,1,1,1,0,0,0,0
Artichokes1,Artichokes,1,A variety of thistles that has been cultivated as food. Homer and Pliny the Elder both mention artichokes as garden plants of ancient Mediterranea. ,,0,1,1,1,1,1,0,0,1,1,1,1
Artichokes2,Artichokes,2,A variety of thistles that has been cultivated as food. Homer and Pliny the Elder both mention artichokes as garden plants of ancient Mediterranea. ,,0,0,0,0,0,0,0,0,0,0,0,0
Artichokes3,Artichokes,3,A variety of thistles that has been cultivated as food. Homer and Pliny the Elder both mention artichokes as garden plants of ancient Mediterranea. ,,0,0,0,0,0,0,0,0,0,0,0,0
Artichokes4,Artichokes,4,A variety of thistles that has been cultivated as food. Homer and Pliny the Elder both mention artichokes as garden plants of ancient Mediterranea. ,,0,0,0,0,0,0,0,0,0,0,0,0
Artichokes5,Artichokes,5,A variety of thistles that has been cultivated as food. Homer and Pliny the Elder both mention artichokes as garden plants of ancient Mediterranea. ,,0,0,0,0,0,0,0,0,0,0,0,0
Arugula1,Arugala,1,"A leafy green known for its peppery, bitter flavor. Also known as 'Garden Rocket'. Various classical authors considered it an aphrodisiac- for this reason, arugala was banned from the gardens of monasteries during the Middle Ages. ",,0,1,1,1,1,1,1,1,1,1,1,0
Arugula2,Arugala,2,"A leafy green known for its peppery, bitter flavor. Also known as 'Garden Rocket'. Various classical authors considered it an aphrodisiac- for this reason, arugala was banned from the gardens of monasteries during the Middle Ages. ",,1,1,1,1,0,0,0,0,0,1,1,1
Arugula3,Arugala,3,"A leafy green known for its peppery, bitter flavor. Also known as 'Garden Rocket'. Various classical authors considered it an aphrodisiac- for this reason, arugala was banned from the gardens of monasteries during the Middle Ages. ",,0,0,0,1,1,1,0,0,1,1,1,0
Arugula4,Arugala,4,"A leafy green known for its peppery, bitter flavor. Also known as 'Garden Rocket'. Various classical authors considered it an aphrodisiac- for this reason, arugala was banned from the gardens of monasteries during the Middle Ages. ",,0,0,0,0,1,1,1,1,1,0,0,0
Arugula5,Arugala,5,"A leafy green known for its peppery, bitter flavor. Also known as 'Garden Rocket'. Various classical authors considered it an aphrodisiac- for this reason, arugala was banned from the gardens of monasteries during the Middle Ages. ",,0,0,0,0,1,1,1,1,1,1,0,0
Asian_Pears1,Asian Pears,1,"A variety of pear common to China. Similiar to the mild Bosc pear, but with a higher water content and a lower sugar content. Because of their large size and relatively high price, these are valued as gifts, or food for honored guests. ",,0,0,0,0,0,0,1,1,1,1,1,0
Asian_Pears2,Asian Pears,2,"A variety of pear common to China. Similiar to the mild Bosc pear, but with a higher water content and a lower sugar content. Because of their large size and relatively high price, these are valued as gifts, or food for honored guests. ",,0,0,0,0,0,0,1,1,1,1,0,0
Asian_Pears3,Asian Pears,3,"A variety of pear common to China. Similiar to the mild Bosc pear, but with a higher water content and a lower sugar content. Because of their large size and relatively high price, these are valued as gifts, or food for honored guests. ",,0,0,0,0,0,0,0,1,1,1,0,0
Asian_Pears4,Asian Pears,4,"A variety of pear common to China. Similiar to the mild Bosc pear, but with a higher water content and a lower sugar content. Because of their large size and relatively high price, these are valued as gifts, or food for honored guests. ",,0,0,0,0,0,0,0,0,0,0,0,0
Asian_Pears5,Asian Pears,5,"A variety of pear common to China. Similiar to the mild Bosc pear, but with a higher water content and a lower sugar content. Because of their large size and relatively high price, these are valued as gifts, or food for honored guests. ",,0,0,0,0,0,0,0,1,1,1,1,0
Asparagus1,Asparagus,1,"Egyption friezes depict asparagus as an offering dating back as far as 3000 B.C. Emperor Augustus would coin the expression ""faster than cooking asparagus"" as a representation for quick action. Asparagus holds the distinction of being both a diuretic and an aphrodisiac, a real one-two punch when served at house parties. ",,0,1,1,1,1,1,0,0,0,0,0,0
Asparagus2,Asparagus,2,"Egyption friezes depict asparagus as an offering dating back as far as 3000 B.C. Emperor Augustus would coin the expression ""faster than cooking asparagus"" as a representation for quick action. Asparagus holds the distinction of being both a diuretic and an aphrodisiac, a real one-two punch when served at house parties. ",,0,1,1,1,1,1,0,0,0,0,0,0
Asparagus3,Asparagus,3,"Egyption friezes depict asparagus as an offering dating back as far as 3000 B.C. Emperor Augustus would coin the expression ""faster than cooking asparagus"" as a representation for quick action. Asparagus holds the distinction of being both a diuretic and an aphrodisiac, a real one-two punch when served at house parties. ",,0,0,0,0,1,1,0,0,0,0,0,0
Asparagus4,Asparagus,4,"Egyption friezes depict asparagus as an offering dating back as far as 3000 B.C. Emperor Augustus would coin the expression ""faster than cooking asparagus"" as a representation for quick action. Asparagus holds the distinction of being both a diuretic and an aphrodisiac, a real one-two punch when served at house parties. ",,0,0,0,1,1,1,0,0,0,0,0,0
